variant,kind,device,dtype,n_cond,n_target,dim,median_s,min_s,first_call_s,value,rss_mb,rss_delta_mb,dev_mem_mb,status
batched_fixed_mm_B3,batched,cpu,float64,32,250,768,0.0010224375000689179,0.0009444580000490532,0.001189542000020083,0.3258742919728064,291.546875,36.875,nan,ok
batched_reference_B3,batched_reference,cpu,float32,1,250,2,0.002130833000023813,0.0020623330001399154,0.010843999999906373,11.105611801147461,276.875,22.609375,nan,ok
batched_reference_B3,batched_reference,cpu,float64,1,250,2,0.0037311669999553487,0.0034953750000568107,0.004036083000073631,11.105611070510134,301.921875,47.65625,nan,ok
batched_reference_B3,batched_reference,cpu,float32,8,250,2,0.0023466245000918207,0.0022414170000502054,0.002653291999877183,1.1815288066864014,301.921875,47.65625,nan,ok
batched_reference_B3,batched_reference,cpu,float64,8,250,2,0.003967521000049601,0.0038326249998590356,0.0039607080000223505,1.1815280226880782,307.046875,52.78125,nan,ok
batched_reference_B3,batched_reference,cpu,float32,32,250,2,0.002952500500100541,0.002843624999968597,0.004233249999970212,0.2993593215942383,307.0625,52.796875,nan,ok
batched_reference_B3,batched_reference,cpu,float64,32,250,2,0.004583186999980171,0.004308667000032074,0.004541917000096873,0.29935942267607674,313.171875,58.90625,nan,ok
batched_reference_B3,batched_reference,cpu,float32,1,250,768,0.0040859169999976075,0.0038882500000454456,0.003993709000042145,9.325418472290039,313.234375,58.96875,nan,ok
batched_reference_B3,batched_reference,cpu,float64,1,250,768,0.008367020500031686,0.008090999999922133,0.008532709000064642,9.325420566060146,318.71875,64.453125,nan,ok
batched_reference_B3,batched_reference,cpu,float32,8,250,768,0.004381500000022243,0.004081457999973281,0.0043557090000376775,1.191786766052246,318.71875,64.453125,nan,ok
batched_reference_B3,batched_reference,cpu,float64,8,250,768,0.009433291999926041,0.009121249999907377,0.009006957999872611,1.1917869482322625,329.421875,75.15625,nan,ok
batched_reference_B3,batched_reference,cpu,float32,32,250,768,0.005301708000047256,0.004982541999879686,0.00554575000001023,0.32587432861328125,329.421875,75.15625,nan,ok
batched_reference_B3,batched_reference,cpu,float64,32,250,768,0.011025395499927981,0.010151082999982464,0.010835709000048155,0.3258742919728057,346.40625,92.140625,nan,ok
