setting,bucket,rule,k,n_diff,cos_x_med,cos_x_p10,sign_agree,cos_y_med,cos_y_p10,cos_y_std,cos_x_std,rel_norm_med,rel_norm_std,pass
dimy16,all,kcenter_mean2,32,30.702272727272728,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,5.960464477539063e-08,3.113247389178882e-08,True
dimy16,all,kcenter_mean2,64,57.68227272727273,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,5.960464477539063e-08,3.113247389178882e-08,True
dimy8,early,uniform,8,8.0,1.0,1.0,0.9099999999999999,0.9934888287257381,0.943997660229896,0.014459109042945784,0.24871598333120346,0.1904001235961914,0.5905624938663095,True
dimy8,early,uniform,16,16.0,1.0,1.0,0.91375,0.9968353246200083,0.9726568846600211,0.008380210732502747,0.24075115770101546,0.13483913242816925,0.4417257745983079,True
dimy8,early,uniform,32,32.0,1.0,1.0,0.9637499999999999,0.9985831777562566,0.9869328262135588,0.004241157267460949,0.15867707133293152,0.08202596008777618,0.30218080640770495,True
dimy8,early,uniform,64,64.0,1.0,1.0,0.97625,0.9995293744575076,0.9959300684885855,0.001326135479007462,0.0908957377076149,0.05177199840545654,0.19990812299074606,True
dimy8,early,importance,8,7.7625,1.0,-1.0,0.89875,0.9914632945233873,0.9388947354959352,0.014590374580438947,0.27893934696912764,0.14004620909690857,0.5517835148144513,True
dimy8,early,importance,16,15.044999999999998,1.0,1.0,0.925,0.995347680469613,0.9683269535544322,0.009168889134161872,0.23572128564119338,0.1223844513297081,0.43869400483963544,True
dimy8,early,importance,32,28.36375,1.0,1.0,0.96,0.9979756898630611,0.9856877409002514,0.0043978252815577434,0.17822863459587096,0.07809804379940033,0.3368343536683824,True
dimy8,early,importance,64,50.082499999999996,1.0,1.0,0.9712500000000001,0.9991442001982677,0.9922202997451199,0.0024494115176821652,0.13061388731002807,0.06366818398237228,0.2659683476551436,True
dimy8,early,kcenter,8,8.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,0.0,1.7881393432617188e-07,5.198011265861169e-08,True
dimy8,early,kcenter,16,16.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,0.0,1.7881393432617188e-07,5.198011265861169e-08,True
dimy8,early,kcenter,32,32.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,0.0,1.7881393432617188e-07,5.198011265861169e-08,True
