setting,bucket,rule,k,n_diff,cos_x_med,cos_x_p10,sign_agree,cos_y_med,cos_y_p10,cos_y_std,cos_x_std,rel_norm_med,rel_norm_std,pass
dimy16,mid,kcenter_mean2,8,7.4875,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,1.1920928955078125e-07,1.987474895770447e-08,True
dimy16,mid,kcenter_mean2,16,15.319999999999999,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,1.1920928955078125e-07,1.987474895770447e-08,True
dimy16,mid,kcenter_mean2,32,30.60625,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,1.1920928955078125e-07,1.987474895770447e-08,True
dimy16,mid,kcenter_mean2,64,57.67125,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,1.1920928955078125e-07,1.987474895770447e-08,True
dimy16,late,uniform,8,8.0,1.0,-1.0,0.69,0.9846976976768187,0.9613822664359596,0.008981948361421625,0.8634507616360982,1.0836970806121826,8.00675480266412,True
dimy16,late,uniform,16,16.0,1.0,-1.0,0.7616666666666667,0.992966054553983,0.9837192020693801,0.004053187735068301,0.6702249626318614,0.7799530029296875,6.969760206341744,True
dimy16,late,uniform,32,32.0,1.0,-1.0,0.8266666666666667,0.9969284239622455,0.9924319934041526,0.0018405898629377285,0.5499989966551463,0.533883273601532,3.911148406068484,True
dimy16,late,uniform,64,64.0,1.0,-1.0,0.8933333333333333,0.9989545427784295,0.9976472324576942,0.0005760216978766645,0.33312615553538005,0.405264675617218,2.146611080567042,True
dimy16,late,importance,8,7.776666666666667,1.0,-1.0,0.6916666666666667,0.9838853852495971,0.9616113571289381,0.009707603634645541,0.8754080355167388,1.2762988805770874,9.074532004197438,True
dimy16,late,importance,16,15.006666666666666,1.0,-1.0,0.7416666666666667,0.9918990118245934,0.9790804206764289,0.00477778899949044,0.7585769772529602,0.790895938873291,6.136112744609515,True
dimy16,late,importance,32,28.323333333333334,1.0,-1.0,0.81,0.9957152337961671,0.9907400769644257,0.0023339641901353996,0.6272659520308177,0.6719920635223389,4.952240581313769,True
dimy16,late,importance,64,50.075,1.0,-1.0,0.8433333333333334,0.9978501509620954,0.9948990750775968,0.001189449798160543,0.5011673827966054,0.4343339502811432,3.535527666906516,True
dimy16,late,kcenter,8,8.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,5.960464477539063e-08,2.8538101067473082e-08,True
dimy16,late,kcenter,16,16.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,5.960464477539063e-08,2.8538101067473082e-08,True
dimy16,late,kcenter,32,32.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,5.960464477539063e-08,2.8538101067473082e-08,True
dimy16,late,kcenter,64,64.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,5.960464477539063e-08,2.8538101067473082e-08,True
dimy16,late,kcenter_mean2,8,7.763333333333334,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,5.960464477539063e-08,2.8538101067473082e-08,True
dimy16,late,kcenter_mean2,16,15.613333333333333,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,5.960464477539063e-08,2.8538101067473082e-08,True
dimy16,late,kcenter_mean2,32,30.75,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,5.960464477539063e-08,2.8538101067473082e-08,True
