setting,n,candidate,score,success,diverged,cm_samples,diff_samples,seconds_per_run,peak_mem_mb,comparator,diff_vs_comparator,diff_vs_comparator_p,diff_vs_baseline,diff_vs_baseline_p
10D,8,trust_noise1,0.529589199968366,0.0,0,792,792,0.49540113400144037,773.92578125,baseline,0.1013466565024143,0.011049447527623619,0.1013466565024143,0.011049447527623619
10D,8,backsel_uni_k2,0.6869966278626315,0.0,0,990,198,0.6672500256740023,787.7109375,baseline,-0.056060771391851234,0.17649117544122794,-0.056060771391851234,0.17649117544122794
10D,8,backsel_uni_k4,0.6736862398151887,0.0,0,1188,396,0.6784231846482726,786.83984375,baseline,-0.04275038334440847,0.35008249587520623,-0.04275038334440847,0.35008249587520623
10D,8,backsel_is_k2,0.6664047619780809,0.0,0,976.025,184.025,0.6768886404228397,783.7890625,baseline,-0.03546890550730052,0.4488775561221939,-0.03546890550730052,0.4488775561221939
10D,8,backsel_is_k4,0.6784340507014466,0.0,0,1109.7,317.7,0.697706757823471,785.375,baseline,-0.047498194230666424,0.31148442577871105,-0.047498194230666424,0.31148442577871105
10D,8,backsel_clust_k2,0.6455924190258904,0.0,0,990,198,0.6713149529503426,786.484375,baseline,-0.014656562555110135,0.7639118044097795,-0.014656562555110135,0.7639118044097795
10D,8,backsel_clust_k4,0.6509608297640095,0.0,0,1188,396,0.7025499403476715,785.359375,baseline,-0.020024973293229234,0.640217989100545,-0.020024973293229234,0.640217989100545
10D,8,backsel_uni_k2_trust,0.6220101762813524,0.0,0,990,198,0.6771992744732416,786.6640625,trust_noise1,-0.09242097631298635,0.016699165041747913,0.008925680189427949,0.832608369581521
10D,8,backsel_uni_k4_trust,0.5351444837931345,0.0,0,1188,396,0.6866422844759654,787.3828125,trust_noise1,-0.005555283824768541,0.8684565771711414,0.09579137267764576,0.04424778761061947
10D,8,backsel_is_k2_trust,0.6306009271562578,0.0,0,975.3,183.3,0.7030588927736972,785.68359375,trust_noise1,-0.10101172718789189,0.006849657517124144,0.0003349293145224044,0.9941002949852508
