setting,n,spatial,temporal,candidate,restarts,offset,base_score,cand_score,diff,ci_lo,ci_hi,wins,perm_p,base_success,cand_success,base_div,cand_div,calls,calls_match,mmd_diff,mmd_ci_lo,mmd_ci_hi,mmd_p,screening_diff,s_per_run
2D,32,no_lgd,none,clip0.5,100,1000,0.24692128399603824,0.23749635622162685,0.009424927774411392,-0.005513798264583871,0.027998956752132754,48,0.3209339533023349,0.59,0.6,0,0,3168,True,0.0047987127304077145,-0.0002954411506652832,0.012700002193450927,0.3914804259787011,-0.0004988562694146492,0.7371005343203433
2D,32,no_lgd,none,relclip1,100,1000,0.24692128399603824,0.26658202708984263,-0.019660743093804417,-0.06940719259042115,0.027117142179220566,76,0.4423778811059447,0.59,0.79,0,0,3168,True,-0.04865487575531006,-0.07544702768325806,-0.024353115558624266,0.00024998750062496874,-0.0010075604448594455,0.7239694647799478
2D,32,no_lgd,none,relclip2,100,1000,0.24692128399603824,0.2206295206467522,0.026291763349286026,-0.0021384333805162135,0.05250317745959632,79,0.06409679516024198,0.59,0.75,0,0,3168,True,-0.003133659362792969,-0.01647891044616699,0.00853740692138672,0.6759162041897905,0.040297729814692734,0.757677599429735
2D,32,no_lgd,none,relclip_ema2,100,1000,0.24692128399603824,0.2107637729847863,0.03615751101125195,0.014245947124364368,0.05885627575802108,77,0.0006999650017499125,0.59,0.77,0,0,3168,True,-0.005332903861999512,-0.024247355461120605,0.009008350372314454,0.5770711464426779,0.05053364209348138,0.765258544239914
2D,32,no_lgd,none,sqrt_floor,100,1000,0.24692128399603824,0.2087259231380947,0.03819536085794352,0.013935714532402,0.06311326400650775,72,0.0021498925053747312,0.59,0.72,0,0,3168,True,-0.0030000495910644533,-0.02204850912094116,0.010332982540130615,0.7775611219439028,0.051252294141077126,0.7476258883997798
2D,32,no_lgd,none,sqrtfloor_clip0.5,100,1000,0.24692128399603824,0.21084817618942112,0.03607310780661713,0.009483924053931852,0.06203218627663858,72,0.008099595020248988,0.59,0.71,0,0,3168,True,-0.0037743520736694337,-0.015891177654266356,0.007474687099456787,0.47747612619369034,0.040714718757285995,0.7225578525097808
2D,32,no_lgd,none,trust_noise1,100,1000,0.24692128399603824,0.2231686210722027,0.02375266292383554,0.007760996480672936,0.04330764218267317,60,0.0033498325083745812,0.59,0.7,0,0,3168,True,0.004832203388214111,-0.00038110971450805664,0.012787389755249023,0.33313334333283334,0.020699395375096685,0.7606018218799727
5D,4,no_lgd,none,clip0.5,100,1000,0.5337802171071266,0.501902014920213,0.03187820218691364,-0.018391388562543746,0.08190477950987526,56,0.21328933553322335,0.0,0.0,0,0,396,True,0.005401167869567871,-0.027237081527709962,0.03678026914596558,0.7479126043697815,-0.010570907446698863,0.6217065250698943
5D,4,no_lgd,none,relclip1,100,1000,0.5337802171071266,0.5414363019279924,-0.0076560848208658185,-0.057171589695116216,0.04057571731230463,58,0.7558122093895305,0.0,0.0,0,0,396,True,0.009898300170898438,-0.02143545150756836,0.04030611515045166,0.5394230288485575,-0.001412715510415885,0.6130906896601664
5D,4,no_lgd,none,relclip2,100,1000,0.5337802171071266,0.5237981075041379,0.00998210960298869,-0.024791459068943054,0.04513231226644836,60,0.5858707064646768,0.0,0.0,0,0,396,True,-0.001753382682800293,-0.029610462188720703,0.025795035362243653,0.903754812259387,0.00804547545509171,0.632175296600326
5D,4,no_lgd,none,relclip_ema2,100,1000,0.5337802171071266,0.5503038590164172,-0.016523641909290617,-0.060527545506274545,0.02565211039080187,58,0.4648767561621919,0.0,0.0,0,0,396,True,-0.0028365111351013185,-0.03067697286605835,0.024290714263916015,0.8435078246087696,0.012447739526855073,0.6286064109596191
5D,4,no_lgd,none,sqrt_floor,100,1000,0.5337802171071266,0.5036293934664239,0.030150823640702776,-0.014799113056524364,0.07585104576436318,57,0.1977401129943503,0.0,0.0,0,0,396,True,0.01862030029296875,-0.0116815447807312,0.048770406246185304,0.24293785310734464,0.01788817027864187,0.6256663695699536
5D,4,no_lgd,none,sqrtfloor_clip0.5,100,1000,0.5337802171071266,0.5002981597032009,0.03348205740392575,-0.011173835439000846,0.07966347491642889,67,0.15639218039098046,0.0,0.0,0,0,396,True,0.006087303161621094,-0.036668124198913576,0.04680019378662109,0.7854607269636518,0.020693939714018783,0.6227861420600675
5D,4,no_lgd,none,trust_noise1,100,1000,0.5337802171071266,0.5082293318460439,0.025550885261082693,-0.016435018122440304,0.06697968256734871,64,0.23868806559672015,0.0,0.0,0,0,396,True,0.044162206649780274,0.020508203506469726,0.07262547731399537,4.999750012499375e-05,0.027702978652484722,0.6305810996500076
5D,8,no_lgd,none,clip0.5,100,1000,0.5083370457599187,0.529189380976706,-0.020852335216787313,-0.06326228776474992,0.019488053001684824,68,0.3318334083295835,0.0,0.0,0,0,792,True,-0.006299779415130615,-0.041235511302947996,0.026482305526733398,0.7204139793010349,-0.07735933552828456,0.6842577015201096
5D,8,no_lgd,none,relclip1,100,1000,0.5083370457599187,0.48645894390775474,0.02187810185216396,-0.02151264156859685,0.06551016678833062,63,0.33798310084495775,0.0,0.0,0,0,792,True,0.03456430912017822,0.01848205327987671,0.05226290464401245,4.999750012499375e-05,-0.03935973423476191,0.6850433896901086
