setting,bucket,rule,k,n_diff,cos_x_med,cos_x_p10,sign_agree,cos_y_med,cos_y_p10,cos_y_std,cos_x_std,rel_norm_med,rel_norm_std,pass
dimy8,all,importance,8,7.763636363636365,1.0,1.0,0.9113636363636364,0.9825630774120555,0.9089591775802804,0.03304919832523658,0.3094906644387679,0.28101664781570435,0.5607168496353552,True
dimy8,all,importance,16,15.159090909090908,1.0,1.0,0.9477272727272728,0.990527457347613,0.9580285776623054,0.018878683319516396,0.17499482902613553,0.2121540606021881,0.38488394576548174,True
dimy8,all,importance,32,28.36818181818182,1.0,1.0,0.9681818181818183,0.9957377312191014,0.973569167585183,0.009854754302068613,0.1539860719984228,0.1133267730474472,0.3012455986622213,True
dimy8,all,importance,64,50.154545454545456,1.0,1.0,0.9795454545454546,0.9979198002111483,0.9862439454121058,0.005307994343390667,0.07769572734832764,0.0790182575583458,0.23011913043658502,True
dimy8,all,kcenter,8,8.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,0.0,1.1920928955078125e-07,1.389842584454858e-08,True
dimy8,all,kcenter,16,16.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,0.0,1.1920928955078125e-07,1.389842584454858e-08,True
dimy8,all,kcenter,32,32.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,0.0,1.1920928955078125e-07,1.389842584454858e-08,True
dimy8,all,kcenter,64,64.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,0.0,1.1920928955078125e-07,1.389842584454858e-08,True
dimy8,all,kcenter_mean2,8,7.8159090909090905,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,0.0,1.1920928955078125e-07,1.389842584454858e-08,True
dimy8,all,kcenter_mean2,16,15.656818181818181,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,0.0,1.1920928955078125e-07,1.389842584454858e-08,True
dimy8,all,kcenter_mean2,32,31.075,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,0.0,1.1920928955078125e-07,1.389842584454858e-08,True
dimy8,all,kcenter_mean2,64,58.12045454545455,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,0.0,1.1920928955078125e-07,1.389842584454858e-08,True
nuis8,early,uniform,8,8.0,1.0,-1.0,0.5375,0.38465070441909616,-0.6573246212686021,0.5519012473523617,0.9700514525175095,2.7553653717041016,22.309159889817238,False
nuis8,early,uniform,16,16.0,1.0,-1.0,0.60625,0.549461311801882,-0.5820513240670631,0.5289520900696516,0.9921898022294044,1.6489551067352295,16.495419025421143,False
nuis8,early,uniform,32,32.0,1.0,-1.0,0.6625,0.6884196632635194,-0.39222623507609994,0.4870552606880665,0.9435261562466621,1.1266980171203613,12.397017747163773,False
nuis8,early,uniform,64,64.0,1.0,-1.0,0.70625,0.8360282463222866,-0.03986436382075297,0.3701939871534705,0.7925970703363419,0.6878342628479004,7.666235148906708,False
nuis8,early,importance,8,7.74375,1.0,-1.0,0.6625,0.47451674616610673,-0.5000683396477876,0.5064886957406998,0.9415814951062202,2.4750618934631348,26.820482283830643,False
nuis8,early,importance,16,15.1,1.0,-1.0,0.64375,0.5358674275802556,-0.38737287994071873,0.4899915438145399,0.9575489163398743,1.463417410850525,15.824550539255142,False
nuis8,early,importance,32,28.2875,1.0,-1.0,0.66875,0.7592877292844187,-0.2367666883867611,0.43347530253231525,0.8672108575701714,1.4238767623901367,15.241376504302025,False
nuis8,early,importance,64,49.55,1.0,-1.0,0.66875,0.7812456735612935,-0.06495548687896929,0.39729612693190575,0.8987331092357635,0.9503305554389954,9.513258665800095,False
nuis8,early,kcenter,8,8.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,0.0,5.960464477539062e-07,7.644134214501719e-09,True
nuis8,early,kcenter,16,16.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,0.0,5.960464477539062e-07,7.644134214501719e-09,True
nuis8,early,kcenter,32,32.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,0.0,5.960464477539062e-07,7.644134214501719e-09,True
nuis8,early,kcenter,64,64.0,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,0.0,5.960464477539062e-07,7.644134214501719e-09,True
nuis8,early,kcenter_mean2,8,7.9125,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,0.0,5.960464477539062e-07,7.644134214501719e-09,True
nuis8,early,kcenter_mean2,16,15.76875,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,0.0,5.960464477539062e-07,7.644134214501719e-09,True
nuis8,early,kcenter_mean2,32,31.24375,1.0,1.0,1.0,1.0,0.9999999999999998,0.0,0.0,5.960464477539062e-07,7.644134214501719e-09,True
