commit,candidate,task,target,seed,config,hardware,dtype,wall_s,peak_mem_mb,score_calls,cond_calls,cond_samples,opt_loss,eval_metric,status
6af2081,baseline,synthetic_5D,S_G250_seed987654,2,spatial=no_lgd;temporal=adam;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.1857,322.1,99,99,792,0.271077,0.383689,ok
6af2081,baseline,synthetic_5D,S_G250_seed987654,3,spatial=no_lgd;temporal=adam;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.1859,322.1,99,99,792,0.315905,0.398877,ok
6af2081,baseline,synthetic_5D,S_G250_seed987654,4,spatial=no_lgd;temporal=adam;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.1851,322.1,99,99,792,0.150701,0.411669,ok
6af2081,baseline,synthetic_5D,S_G250_seed987654,0,spatial=no_lgd;temporal=adam;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.2160,330.3,99,99,3168,0.243112,0.404967,ok
6af2081,baseline,synthetic_5D,S_G250_seed987654,1,spatial=no_lgd;temporal=adam;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.2157,330.3,99,99,3168,0.150327,0.28145,ok
6af2081,baseline,synthetic_5D,S_G250_seed987654,2,spatial=no_lgd;temporal=adam;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.2177,330.3,99,99,3168,0.377792,0.621853,ok
6af2081,baseline,synthetic_5D,S_G250_seed987654,3,spatial=no_lgd;temporal=adam;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.2164,330.3,99,99,3168,0.267791,0.420306,ok
6af2081,baseline,synthetic_5D,S_G250_seed987654,4,spatial=no_lgd;temporal=adam;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.2170,330.3,99,99,3168,0.298748,0.45395,ok
6af2081,baseline,synthetic_5D,S_G250_seed987654,0,spatial=lgd;temporal=none;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.5022,343.6,99,297,2376,0.299575,0.399067,ok
6af2081,baseline,synthetic_5D,S_G250_seed987654,1,spatial=lgd;temporal=none;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.4992,343.6,99,297,2376,0.345305,0.411899,ok
6af2081,baseline,synthetic_5D,S_G250_seed987654,2,spatial=lgd;temporal=none;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.5005,343.6,99,297,2376,0.287902,0.443533,ok
6af2081,baseline,synthetic_5D,S_G250_seed987654,3,spatial=lgd;temporal=none;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.5049,343.6,99,297,2376,0.321863,0.419222,ok
6af2081,baseline,synthetic_5D,S_G250_seed987654,4,spatial=lgd;temporal=none;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.5080,343.6,99,297,2376,0.513828,0.413488,ok
6af2081,baseline,synthetic_5D,S_G250_seed987654,0,spatial=lgd;temporal=none;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.5910,366.7,99,297,9504,0.256961,0.429082,ok
6af2081,baseline,synthetic_5D,S_G250_seed987654,1,spatial=lgd;temporal=none;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.6175,366.7,99,297,9504,0.185202,0.425124,ok
6af2081,baseline,synthetic_5D,S_G250_seed987654,2,spatial=lgd;temporal=none;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.6205,366.7,99,297,9504,0.268714,0.421842,ok
6af2081,baseline,synthetic_5D,S_G250_seed987654,3,spatial=lgd;temporal=none;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.6035,366.7,99,297,9504,0.234411,0.422812,ok
6af2081,baseline,synthetic_5D,S_G250_seed987654,4,spatial=lgd;temporal=none;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.6062,366.7,99,297,9504,0.207584,0.426795,ok
6af2081,baseline,synthetic_10D,S_G250_seed987654,0,spatial=no_lgd;temporal=none;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.1832,332.9,99,99,792,0.3381,0.52712,ok
6af2081,baseline,synthetic_10D,S_G250_seed987654,1,spatial=no_lgd;temporal=none;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.1831,332.9,99,99,792,0.550111,0.580875,ok
6af2081,baseline,synthetic_10D,S_G250_seed987654,2,spatial=no_lgd;temporal=none;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.1834,332.9,99,99,792,0.34122,0.45029,ok
6af2081,baseline,synthetic_10D,S_G250_seed987654,3,spatial=no_lgd;temporal=none;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.1823,332.9,99,99,792,0.483307,0.536031,ok
6af2081,baseline,synthetic_10D,S_G250_seed987654,4,spatial=no_lgd;temporal=none;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.1838,332.9,99,99,792,0.658086,0.729964,ok
6af2081,baseline,synthetic_10D,S_G250_seed987654,0,spatial=no_lgd;temporal=none;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.2200,347.9,99,99,3168,0.0532649,0.596661,ok
6af2081,baseline,synthetic_10D,S_G250_seed987654,1,spatial=no_lgd;temporal=none;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.2135,347.9,99,99,3168,0.102875,0.57142,ok
6af2081,baseline,synthetic_10D,S_G250_seed987654,2,spatial=no_lgd;temporal=none;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.2157,347.9,99,99,3168,0.0361669,0.402591,ok
6af2081,baseline,synthetic_10D,S_G250_seed987654,3,spatial=no_lgd;temporal=none;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.2153,347.9,99,99,3168,0.152959,0.443178,ok
6af2081,baseline,synthetic_10D,S_G250_seed987654,4,spatial=no_lgd;temporal=none;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.2156,347.9,99,99,3168,0.0183334,0.534338,ok
6af2081,baseline,synthetic_10D,S_G250_seed987654,0,spatial=no_lgd;temporal=adam;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.1865,326.7,99,99,792,0.244326,0.558354,ok
6af2081,baseline,synthetic_10D,S_G250_seed987654,1,spatial=no_lgd;temporal=adam;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.1870,326.7,99,99,792,0.183989,0.909762,ok
6af2081,baseline,synthetic_10D,S_G250_seed987654,2,spatial=no_lgd;temporal=adam;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.1848,326.7,99,99,792,0.184942,0.92077,ok
6af2081,baseline,synthetic_10D,S_G250_seed987654,3,spatial=no_lgd;temporal=adam;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.1881,326.7,99,99,792,0.125411,0.504601,ok
6af2081,baseline,synthetic_10D,S_G250_seed987654,4,spatial=no_lgd;temporal=adam;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.1861,326.7,99,99,792,0.310521,0.681767,ok
6af2081,baseline,synthetic_10D,S_G250_seed987654,0,spatial=no_lgd;temporal=adam;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.2159,329.9,99,99,3168,0.0310166,0.764882,ok
6af2081,baseline,synthetic_10D,S_G250_seed987654,1,spatial=no_lgd;temporal=adam;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.2159,329.9,99,99,3168,0.0435045,0.398532,ok
6af2081,baseline,synthetic_10D,S_G250_seed987654,2,spatial=no_lgd;temporal=adam;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.2144,329.9,99,99,3168,0.0965414,0.728917,ok
6af2081,baseline,synthetic_10D,S_G250_seed987654,3,spatial=no_lgd;temporal=adam;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.2160,329.9,99,99,3168,0.267521,0.437775,ok
6af2081,baseline,synthetic_10D,S_G250_seed987654,4,spatial=no_lgd;temporal=adam;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.2162,329.9,99,99,3168,0.163674,0.359319,ok
6af2081,baseline,synthetic_10D,S_G250_seed987654,0,spatial=lgd;temporal=none;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.5004,356.3,99,297,2376,0.296223,0.416402,ok
6af2081,baseline,synthetic_10D,S_G250_seed987654,1,spatial=lgd;temporal=none;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.5520,356.3,99,297,2376,0.256803,0.322823,ok
6af2081,baseline,synthetic_10D,S_G250_seed987654,2,spatial=lgd;temporal=none;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.4972,356.3,99,297,2376,0.0552931,0.441322,ok
6af2081,baseline,synthetic_10D,S_G250_seed987654,3,spatial=lgd;temporal=none;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.5453,356.3,99,297,2376,0.102907,0.438173,ok
6af2081,baseline,synthetic_10D,S_G250_seed987654,4,spatial=lgd;temporal=none;n=8;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.4934,356.3,99,297,2376,0.186023,0.39919,ok
6af2081,baseline,synthetic_10D,S_G250_seed987654,0,spatial=lgd;temporal=none;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.5937,359.0,99,297,9504,0.0509479,0.450571,ok
6af2081,baseline,synthetic_10D,S_G250_seed987654,1,spatial=lgd;temporal=none;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.5941,359.0,99,297,9504,0.0524266,0.293372,ok
6af2081,baseline,synthetic_10D,S_G250_seed987654,2,spatial=lgd;temporal=none;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.6020,359.0,99,297,9504,0.0965016,0.460618,ok
6af2081,baseline,synthetic_10D,S_G250_seed987654,3,spatial=lgd;temporal=none;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.6857,359.0,99,297,9504,0.102263,0.411692,ok
6af2081,baseline,synthetic_10D,S_G250_seed987654,4,spatial=lgd;temporal=none;n=32;schedule=constant;rho=0.4;T=100;ts=PAPER_TS,arm64-cpu-4thr,float32,0.5937,359.0,99,297,9504,0.0579021,0.420375,ok
